Cypress Mountain,Canada,49.3976802,-123.2011443,824,1132,1440
Whiteface-Lake Placid,United States,44.36586225,-73.83531534,371,856,1340
The Summit at Snoqualmie,United States,47.424462,-121.417071,800,990,1180
Tamarack Resort,United States,44.6700061,-116.1225024,1490,1919,2347
Summit Ski Area at Mt. Hood,United States,45.303419,-121.745667,1216,1264,1312
Bolton Valley,United States,39.3455111,-78.7571921,440,700,960
Montage Mountain Resort,United States,41.349713,-75.662134,285,440,594
Sandia Peak,United States,35.2100445,-106.4496496,1999,2315,2630
Crystal Mountain,United States,46.9281666,-121.504535,1341,1739,2137
Stevens Pass,United States,47.7456352,-121.089171,1170,1460,1750
Loon Mountain,United States,44.5164518,-74.6496253,300,615,930
Le Massif,Canada,47.2759,-70.6259857,36,421,806
